tick_id,ID,trial,obs_date,arena,sex,treatment,origin,velocity,distance_cm,time_moving_s,time_not_moving_s,video_title,time_moving_min,distance_m,com_garden_date,retention,time,distance
240209-3,83,Trial    57,240209,Arena 3,f,cold,lab,0.0476119,4086.6,42135,43697.9,240209,702.25,40.866,240109,30,702.25,40.866
240209-4,84,Trial    57,240209,Arena 4,f,warm,lab,0.0275956,2382.65,35069.1,51272.9,240209,584.485,23.8265,240109,30,584.485,23.8265
240212-1,85,Trial    58,240212,Arena 1,m,cold,lab,0.0859217,7350.29,35721.6,49828.3,240212,595.36,73.5029,240109,33,595.36,73.5029
240212-2,86,Trial    58,240212,Arena 2,m,warm,lab,0.190023,2806.68,14310.5,461.493,240212,238.5083333,28.0668,240109,33,238.5083333,28.0668
240212-3,87,Trial    58,240212,Arena 3,f,warm,lab,0.0270611,2338.08,36139.4,50260.6,240212,602.3233333,23.3808,240109,33,602.3233333,23.3808
240212-4,88,Trial    58,240212,Arena 4,f,cold,lab,0.082135,7082.17,44225.4,42001.7,240212,737.09,70.8217,240109,33,737.09,70.8217
240213-1,89,Trial    59,240213,Arena 1,f,cold,lab,0.197301,17042.9,70809.4,15570.9,240213,1180.156667,170.429,240109,34,1180.156667,170.429
240213-2,90,Trial    59,240213,Arena 2,f,warm,lab,0.119568,10330.2,53635.9,32760.2,240213,893.9316667,103.302,240109,34,893.9316667,103.302
240213-3,91,Trial    59,240213,Arena 3,m,cold,lab,0.0757134,6486.56,44082.1,41592.9,240213,734.7016667,64.8656,240109,34,734.7016667,64.8656
240213-4,92,Trial    59,240213,Arena 4,m,warm,lab,0.0394357,3317.54,29288.1,54838.6,240213,488.135,33.1754,240109,34,488.135,33.1754
